2021-01-06 15:39:43,423 [INFOR] ForkPoolWorker-3(39344):MainThread        (4669627904) | common.prepare_targets:228 - 1/2 Domain lookup start.
2021-01-06 15:41:06,370 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_3(123145425932288) | scanner.http_request:180 - --> /test2.txt  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:07,036 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_1(123145415421952) | scanner.http_request:180 - --> /config.inc  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:07,100 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_7(123145446952960) | scanner.http_request:180 - --> /readme.md  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:08,090 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_7(123145446952960) | scanner.http_request:180 - --> /eureka  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:08,345 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_5(123145436442624) | scanner.http_request:180 - --> /api/gateway/actuator/metrics  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:08,399 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_3(123145425932288) | scanner.http_request:180 - --> /status  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:08,462 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_2(123145420677120) | scanner.http_request:180 - --> /log.rar  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:08,541 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_9(123145457463296) | scanner.http_request:180 - --> /old.tgz  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:09,049 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_6(123145441697792) | scanner.http_request:180 - --> /iisadmin  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:09,389 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_2(123145420677120) | scanner.http_request:180 - --> /log.zip  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:09,611 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_0(123145410166784) | scanner.http_request:180 - --> /ckeditor/samples/  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:10,200 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_3(123145425932288) | scanner.http_request:180 - --> /upload.sh  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:10,826 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_5(123145436442624) | scanner.http_request:180 - --> /website.rar  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:10,916 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_6(123145441697792) | scanner.http_request:180 - --> /gateway/actuator/info  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:11,149 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_2(123145420677120) | scanner.http_request:180 - --> /log.tgz  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:11,755 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_0(123145410166784) | scanner.http_request:180 - --> /monitor/info  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:12,308 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_6(123145441697792) | scanner.http_request:180 - --> /api/v2.1/swagger-ui.html  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:12,845 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_9(123145457463296) | scanner.http_request:180 - --> /WEB-INF/classes/applicationContext-jmq-producer-jc-pre.xml  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:12,916 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_7(123145446952960) | scanner.http_request:180 - --> /package.rar  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:12,928 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_3(123145425932288) | scanner.http_request:180 - --> /debug.php  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:13,092 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_0(123145410166784) | scanner.http_request:180 - --> /api/api-docs  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:13,215 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_1(123145415421952) | scanner.http_request:180 - --> /jenkins/script  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:13,515 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_5(123145436442624) | scanner.http_request:180 - --> /test.sh  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:13,605 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_6(123145441697792) | scanner.http_request:180 - --> /api/monitor/jolokia  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:14,246 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_3(123145425932288) | scanner.http_request:180 - --> /old.rar  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:14,279 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_2(123145420677120) | scanner.http_request:180 - --> /log.tar.bz2  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:14,594 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_7(123145446952960) | scanner.http_request:180 - --> /fpsample  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:14,818 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_6(123145441697792) | scanner.http_request:180 - --> /info  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:15,276 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_0(123145410166784) | scanner.http_request:180 - --> /.htpasswd  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:15,580 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_2(123145420677120) | scanner.http_request:180 - --> /log.7z  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:15,678 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_9(123145457463296) | scanner.http_request:180 - --> /test2.html  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:16,041 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_5(123145436442624) | scanner.http_request:180 - --> /system/druid/index.html  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:16,116 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_6(123145441697792) | scanner.http_request:180 - --> /WEB-INF/classes/security.properties  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:16,346 [INFOR] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_4(123145431187456) | scanner.bypass_403:263 - 403 bypass test. https://ac2f1f241e07ad04807307cc002b0066.web-security-academy.net/admin
2021-01-06 15:41:16,348 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_4(123145431187456) | scanner.http_request:180 - --> /admin  (403, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '35'})
2021-01-06 15:41:16,935 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_1(123145415421952) | scanner.http_request:180 - --> /a.out  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:17,048 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_2(123145420677120) | scanner.http_request:180 - --> /log.txt  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:17,865 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_0(123145410166784) | scanner.http_request:180 - --> /api/actuator/info  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:18,278 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_8(123145452208128) | scanner.http_request:180 - --> /entity/all  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:18,461 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_1(123145415421952) | scanner.http_request:180 - --> /api/v1.1/swagger-ui.html  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:19,219 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_8(123145452208128) | scanner.http_request:180 - --> /api/gateway/actuator/health  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:19,255 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_0(123145410166784) | scanner.http_request:180 - --> /actuator  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:19,908 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_4(123145431187456) | scanner.http_request:180 - --> /bak  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:19,965 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_5(123145436442624) | scanner.http_request:180 - --> /tmp.tar.gz  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:20,224 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_8(123145452208128) | scanner.http_request:180 - --> /configuration.ini  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:20,234 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_3(123145425932288) | scanner.http_request:180 - --> /_vti_bin  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:20,242 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_6(123145441697792) | scanner.http_request:180 - --> /api/autoconfig  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:20,492 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_9(123145457463296) | scanner.http_request:180 - --> /..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fetc%2Fshells  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:21,017 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_2(123145420677120) | scanner.http_request:180 - --> /logs.txt  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:21,917 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_6(123145441697792) | scanner.http_request:180 - --> /WEB-INF/applicationContext.xml  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:22,413 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_2(123145420677120) | scanner.http_request:180 - --> /deploy.sh  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:22,470 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_0(123145410166784) | scanner.http_request:180 - --> /readme  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:22,686 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_4(123145431187456) | scanner.http_request:180 - --> /backup  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:22,754 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_1(123145415421952) | scanner.http_request:180 - --> /api/webpage/system/druid/index.html  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:23,069 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_7(123145446952960) | scanner.http_request:180 - --> /cgi  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:23,400 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_5(123145436442624) | scanner.http_request:180 - --> /api/druid/login.html  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:23,723 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_4(123145431187456) | scanner.http_request:180 - --> /conf  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:24,040 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_9(123145457463296) | scanner.http_request:180 - --> /api/v1/api-docs  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:25,225 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_0(123145410166784) | scanner.http_request:180 - --> /api/actuator/hystrix.stream  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:25,256 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_1(123145415421952) | scanner.http_request:180 - --> /admin.tar.gz  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:25,429 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_5(123145436442624) | scanner.http_request:180 - --> /WEB-INF/applicationContext-slave.xml  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:25,791 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_7(123145446952960) | scanner.http_request:180 - --> /WEB-INF/web.xml  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:26,577 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_1(123145415421952) | scanner.http_request:180 - --> /httptrace  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:27,695 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_9(123145457463296) | scanner.http_request:180 - --> /actuator/conditions  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:28,083 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_5(123145436442624) | scanner.http_request:180 - --> /api/actuator/trace  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:30,886 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_0(123145410166784) | scanner.http_request:180 - --> /api/%20/swagger-ui.html  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:31,902 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_6(123145441697792) | scanner.http_request:180 - --> /.ssh/known_hosts  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:32,069 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_1(123145415421952) | scanner.http_request:180 - --> /backup.sql.gz  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:32,663 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_3(123145425932288) | scanner.http_request:180 - --> /jolokia  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:33,795 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_7(123145446952960) | scanner.http_request:180 - --> /monitor/health  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:33,835 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_8(123145452208128) | scanner.http_request:180 - --> /autoconfig  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:34,285 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_2(123145420677120) | scanner.http_request:180 - --> /api/scheduledtasks  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:34,818 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_8(123145452208128) | scanner.http_request:180 - --> /api/mappings  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:35,633 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_7(123145446952960) | scanner.http_request:180 - --> /db.sql  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:35,919 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_2(123145420677120) | scanner.http_request:180 - --> /api/logfile  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:36,265 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_0(123145410166784) | scanner.http_request:180 - --> /site.tar.gz  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:36,595 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_6(123145441697792) | scanner.http_request:180 - --> /deploy.tar.gz  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:36,722 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_8(123145452208128) | scanner.http_request:180 - --> /hystrix/monitor  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:36,963 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_7(123145446952960) | scanner.http_request:180 - --> /dump.sql.gz  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:37,465 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_2(123145420677120) | scanner.http_request:180 - --> /actuator/configprops  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:37,638 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_4(123145431187456) | scanner.http_request:180 - --> /config  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:38,143 [INFOR] ForkPoolWorker-5(39351):MainThread        (4669627904) | scanner.bypass_403:263 - 403 bypass test. https://18.200.141.238/BBScan-404-existence-check
2021-01-06 15:41:38,145 [DEBUG] ForkPoolWorker-5(39351):MainThread        (4669627904) | scanner.http_request:180 - --> /BBScan-404-existence-check  (403, {'Content-Type': 'text/html; charset=utf-8', 'Connection': 'close', 'Content-Length': '109'})
2021-01-06 15:41:38,147 [ALERT] ForkPoolWorker-5(39351):MainThread        (4669627904) | scanner.init_final:125 - https://18.200.141.238 has no HTTP 404.
2021-01-06 15:41:38,702 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_0(123145410166784) | scanner.http_request:180 - --> /phpmyadmin/index.php  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:38,767 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_1(123145415421952) | scanner.http_request:180 - --> /api/entity/all  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:38,783 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_6(123145441697792) | scanner.http_request:180 - --> /gateway/actuator/mappings  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:39,718 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_7(123145446952960) | scanner.http_request:180 - --> /cgi-script  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:39,846 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_4(123145431187456) | scanner.http_request:180 - --> /db  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:40,618 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_3(123145425932288) | scanner.http_request:180 - --> /fck/editor/dialog/fck_spellerpages/spellerpages/server-scripts/spellchecker.php  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:41,114 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_2(123145420677120) | scanner.http_request:180 - --> /manager/html  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:41,252 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_1(123145415421952) | scanner.http_request:180 - --> /zabbix/jsrpc.php?sid=0bcd4ade648214dc&type=9&method=screen.get&tamp=1471403798083&mode=2&screenid=&groupid=&hostid=0&pageFile=history.php&profileIdx=web.item.graph&profileIdx2=1zabbix/jsrpc.php?sid=0bcd4ade648214dc&type=9&method=screen.get&tim%20estamp=1471403798083&mode=2&screenid=&groupid=&hostid=0&pageFile=hi%20story.php&profileIdx=web.item.graph&profileIdx2=(select%201%20from%20(select%20count(*),concat(floor(rand(0)*2),%20user())x%20from%20information_schema.character_sets%20group%20by%20x)y)&updateProfil%20e=true&screenitemid=&period=3600&stime=20160817050632&resourcetype=%2017&itemids%5B23297%5D=23297&action=showlatest&filter=&filter_task=&%20mark_color=1  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
2021-01-06 15:41:41,970 [DEBUG] ForkPoolWorker-6(39352):ThreadPoolExecutor-0_0(123145410166784) | scanner.http_request:180 - --> /WEB-INF/web.properties  (404, {'Content-Type': 'application/json; charset=utf-8', 'Content-Encoding': 'gzip', 'Connection': 'close', 'Content-Length': '31'})
